class,name,property,nominal.real,nominal.reactive,actual.real,actual.reactive
load,N_800003816,constant_power_A,8048.07,2645.27,4024.035,1322.635
load,N_800003816,constant_power_B,8048.07,2645.27,4024.035,1322.635
load,N_800003816,constant_power_C,8048.07,2645.27,4024.035,1322.635
load,N_800003816,constant_power_A_real,8048.07,0.0,4024.035,0.0
load,N_800003816,constant_power_B_real,8048.07,0.0,4024.035,0.0
load,N_800003816,constant_power_C_real,8048.07,0.0,4024.035,0.0
load,N_800003816,constant_power_A_reac,2645.27,0.0,1322.635,0.0
load,N_800003816,constant_power_B_reac,2645.27,0.0,1322.635,0.0
load,N_800003816,constant_power_C_reac,2645.27,0.0,1322.635,0.0
