timestamp,name,enduse,real[kWh],reactive[kVArh]
2020-01-01 04:00:00 PST,house:8,MICROWAVE,0.00233853,0.00238578
2020-01-01 04:00:00 PST,house:8,FREEZER,0.0249441,0.012081
2020-01-01 04:00:00 PST,house:8,REFRIGERATOR,0.0867769,0.042028
2020-01-01 04:00:00 PST,house:8,RANGE,0.00334076,0.00207042
2020-01-01 04:00:00 PST,house:8,WATERHEATER,0.0508475,0
2020-01-01 04:00:00 PST,house:8,CLOTHESWASHER,0.00145607,0.000705208
2020-01-01 04:00:00 PST,house:8,DRYER,0.00498442,0.000710242
2020-01-01 04:00:00 PST,house:5,HVAC,0,0
2020-01-01 04:00:00 PST,house:5,LIGHTS,0.0931469,0.0233448
2020-01-01 04:00:00 PST,house:5,PLUGS,0.113846,0.0551382
2020-01-01 04:00:00 PST,house:5,DISHWASHER,0.000752351,0.000152771
2020-01-01 04:00:00 PST,house:5,MICROWAVE,0.00233853,0.00238578
2020-01-01 04:00:00 PST,house:5,FREEZER,0.0249441,0.012081
2020-01-01 04:00:00 PST,house:5,REFRIGERATOR,0.0867769,0.042028
2020-01-01 04:00:00 PST,house:5,RANGE,0.00334076,0.00207042
2020-01-01 04:00:00 PST,house:5,WATERHEATER,0.0508475,0
2020-01-01 04:00:00 PST,house:5,CLOTHESWASHER,0.00145607,0.000705208
2020-01-01 04:00:00 PST,house:5,DRYER,0.00498442,0.000710242
2020-01-01 04:00:00 PST,house:2,HVAC,0,0
2020-01-01 04:00:00 PST,house:2,LIGHTS,0.0931469,0.0233448
2020-01-01 04:00:00 PST,house:2,PLUGS,0.113846,0.0551382
2020-01-01 04:00:00 PST,house:2,DISHWASHER,0.000752351,0.000152771
2020-01-01 04:00:00 PST,house:2,MICROWAVE,0.00233853,0.00238578
2020-01-01 04:00:00 PST,house:2,FREEZER,0.0249441,0.012081
2020-01-01 04:00:00 PST,house:2,REFRIGERATOR,0.0867769,0.042028
2020-01-01 04:00:00 PST,house:2,RANGE,0.00334076,0.00207042
2020-01-01 04:00:00 PST,house:2,WATERHEATER,0.0508475,0
2020-01-01 04:00:00 PST,house:2,CLOTHESWASHER,0.00145607,0.000705208
2020-01-01 04:00:00 PST,house:2,DRYER,0.00498442,0.000710242
2020-01-01 05:00:00 PST,house:8,HVAC,0,0
2020-01-01 05:00:00 PST,house:8,LIGHTS,0.105734,0.0264995
2020-01-01 05:00:00 PST,house:8,PLUGS,0.129231,0.0625893
2020-01-01 05:00:00 PST,house:8,DISHWASHER,0.00231975,0.000471045
2020-01-01 05:00:00 PST,house:8,MICROWAVE,0.00415739,0.00424138
2020-01-01 05:00:00 PST,house:8,FREEZER,0.0244208,0.0118275
2020-01-01 05:00:00 PST,house:8,REFRIGERATOR,0.089876,0.0435289
2020-01-01 05:00:00 PST,house:8,RANGE,0.00593912,0.00368074
