timestamp,phases,nominal_voltage,measured_real_energy[kWh],measured_demand[kW]
2020-01-27 00:00:00 PST,AS,+120,+16711.1,+112.083
2020-01-27 00:00:00 PST,BS,+120,+16713.9,+112.083
2020-01-27 00:00:00 PST,CS,+120,+16716.7,+112.083
