,w,"In Service, Light, 8 lb, Grade A",,"In Service, 12 lb, Grade A",
1,,SF or Max%,Wind Direction,SF or Max%,Wind Direction
2,Pole,6.8,0 °,4.61,0 °
3,Pole-Strength,100%,,100%,
